Location,Year,rain_mm
Adelaide,2008,1.416867469879518
Adelaide,2009,1.428729281767956
Adelaide,2010,1.6506963788300837
Adelaide,2011,1.6196319018404908
Adelaide,2012,1.61375
Adelaide,2013,1.6090909090909091
Adelaide,2014,1.5262857142857145
Adelaide,2015,1.0977777777777777
Adelaide,2016,2.2426229508196722
Adelaide,2017,1.186206896551724
Albany,2008,0.9419354838709677
Albany,2009,2.5183561643835617
Albany,2010,2.0334246575342467
Albany,2011,2.674626865671642
Albany,2012,2.5680597014925373
Albany,2013,2.8616766467065866
Albany,2014,1.8016666666666667
Albany,2015,1.6931318681318681
Albany,2016,2.526243093922652
Albany,2017,1.489090909090909
Albury,2008,1.8
Albury,2009,1.3076923076923077
Albury,2010,2.559776536312849
Albury,2011,2.5672727272727274
Albury,2012,2.2017964071856286
Albury,2013,1.5843843843843846
Albury,2014,1.6527777777777777
Albury,2015,1.703013698630137
Albury,2016,2.199453551912568
Albury,2017,1.0830409356725146
AliceSprings,2008,1.7677419354838708
AliceSprings,2009,0.21041095890410957
AliceSprings,2010,2.1084931506849314
AliceSprings,2011,1.093134328358209
AliceSprings,2012,0.5534328358208955
AliceSprings,2013,0.511572700296736
AliceSprings,2014,0.6887671232876712
AliceSprings,2015,0.9567123287671233
AliceSprings,2016,1.028099173553719
AliceSprings,2017,0.45497076023391814
BadgerysCreek,2009,1.6473537604456825
BadgerysCreek,2010,2.4900900900900904
BadgerysCreek,2011,2.1295180722891565
BadgerysCreek,2012,2.6108433734939758
BadgerysCreek,2013,2.244311377245509
BadgerysCreek,2014,1.945505617977528
BadgerysCreek,2015,2.2893854748603353
BadgerysCreek,2016,1.904297994269341
BadgerysCreek,2017,2.8605714285714288
Ballarat,2008,2.690322580645161
Ballarat,2009,1.515068493150685
Ballarat,2010,2.4164835164835163
Ballarat,2011,2.3240121580547113
Ballarat,2012,1.7892537313432835
Ballarat,2013,1.3541666666666667
Ballarat,2014,1.2688705234159778
Ballarat,2015,1.2410958904109588
Ballarat,2016,2.0346153846153845
Ballarat,2017,1.5886363636363638
Bendigo,2008,1.8258064516129031
Bendigo,2009,1.1452054794520548
Bendigo,2010,2.905205479452055
Bendigo,2011,2.1432835820895524
Bendigo,2012,1.3134328358208955
Bendigo,2013,1.3715133531157269
Bendigo,2014,1.267945205479452
Bendigo,2015,0.9780821917808219
Bendigo,2016,1.8593406593406592
Bendigo,2017,1.519767441860465
Brisbane,2008,3.318032786885246
Brisbane,2009,2.9624309392265196
Brisbane,2010,4.594459833795014
Brisbane,2011,3.2489425981873112
Brisbane,2012,3.3724550898203596
Brisbane,2013,2.530952380952381
Brisbane,2014,2.1828729281767956
Brisbane,2015,4.0374301675977655
Brisbane,2016,2.0925619834710742
Brisbane,2017,3.247953216374269
Cairns,2008,6.296774193548386
Cairns,2009,6.025753424657535
Cairns,2010,7.287123287671234
Cairns,2011,7.6847761194029856
Cairns,2012,5.962275449101797
Cairns,2013,3.4178041543026705
Cairns,2014,5.044198895027624
Cairns,2015,5.196164383561643
Cairns,2016,4.422641509433962
Cairns,2017,7.1375
Canberra,2007,3.219672131147541
Canberra,2008,1.4612021857923496
Canberra,2009,1.206027397260274
Canberra,2010,2.6295890410958904
Canberra,2011,1.7067484662576686
Canberra,2012,2.027544910179641
Canberra,2013,1.4949554896142434
Canberra,2014,1.5663911845730027
Canberra,2015,1.5113573407202217
Canberra,2016,2.153551912568306
Canberra,2017,1.047126436781609
Cobar,2009,1.037912087912088
Cobar,2010,1.8580821917808221
Cobar,2011,0.8843373493975905
Cobar,2012,1.121921921921922
Cobar,2013,0.7940652818991099
Cobar,2014,0.8526027397260274
Cobar,2015,1.029041095890411
Cobar,2016,1.6440677966101696
Cobar,2017,0.6289017341040463
CoffsHarbour,2009,6.448351648351648
CoffsHarbour,2010,5.455890410958904
CoffsHarbour,2011,5.449253731343283
CoffsHarbour,2012,5.283783783783784
CoffsHarbour,2013,4.956845238095238
CoffsHarbour,2014,3.4875000000000003
CoffsHarbour,2015,5.263173652694611
CoffsHarbour,2016,2.983879781420765
CoffsHarbour,2017,7.430681818181818
Dartmoor,2009,2.483720930232558
Dartmoor,2010,2.2756164383561646
Dartmoor,2011,2.648955223880597
Dartmoor,2012,2.071641791044776
Dartmoor,2013,2.3893175074183977
Dartmoor,2014,1.6923076923076923
Dartmoor,2015,1.5468493150684932
Dartmoor,2016,2.376986301369863
Dartmoor,2017,1.7268571428571429
Darwin,2008,2.731521739130435
Darwin,2009,4.773698630136986
Darwin,2010,6.184109589041095
Darwin,2011,7.441791044776119
Darwin,2012,4.5337313432835815
Darwin,2013,4.0385756676557865
Darwin,2014,4.239452054794521
Darwin,2015,4.7775342465753425
Darwin,2016,3.702185792349727
Darwin,2017,9.880681818181818
GoldCoast,2008,4.126666666666667
GoldCoast,2009,3.487052341597796
GoldCoast,2010,5.554395604395604
GoldCoast,2011,3.1086567164179106
GoldCoast,2012,4.2835820895522385
GoldCoast,2013,3.6943620178041545
GoldCoast,2014,2.3523809523809525
GoldCoast,2015,4.723428571428571
GoldCoast,2016,2.4627218934911244
GoldCoast,2017,4.529824561403509
Hobart,2008,1.3369565217391304
Hobart,2009,2.3698630136986303
Hobart,2010,1.4263013698630138
Hobart,2011,1.692814371257485
Hobart,2012,1.3570149253731345
Hobart,2013,1.7400593471810089
Hobart,2014,1.333884297520661
Hobart,2015,1.4556473829201102
Hobart,2016,1.8950819672131147
Hobart,2017,0.9227272727272727
Katherine,2013,2.682894736842105
Katherine,2014,3.129558011049724
Katherine,2015,3.183977900552486
Katherine,2016,2.1019390581717454
Katherine,2017,6.630409356725146
Launceston,2008,1.761290322580645
Launceston,2009,2.0504109589041097
Launceston,2010,2.284657534246575
Launceston,2011,2.0680597014925373
Launceston,2012,1.7223880597014924
Launceston,2013,2.605105105105105
Launceston,2014,1.6102493074792243
Launceston,2015,1.3967123287671233
Launceston,2016,2.7601092896174864
Launceston,2017,1.2604651162790699
Melbourne,2008,1.3391304347826087
Melbourne,2009,1.2734246575342465
Melbourne,2010,2.1276712328767124
Melbourne,2011,2.5864768683274018
Melbourne,2012,2.1923076923076925
Melbourne,2013,2.168301886792453
Melbourne,2014,1.6416666666666666
Melbourne,2015,0.9333333333333335
Melbourne,2016,1.8710204081632653
Melbourne,2017,1.4636363636363638
MelbourneAirport,2009,1.0898630136986303
MelbourneAirport,2010,1.992876712328767
MelbourneAirport,2011,1.8907462686567162
MelbourneAirport,2012,1.3814925373134328
MelbourneAirport,2013,1.4973293768545994
MelbourneAirport,2014,1.1030136986301369
MelbourneAirport,2015,1.0997260273972602
MelbourneAirport,2016,1.6792349726775957
MelbourneAirport,2017,1.2750000000000001
Mildura,2009,0.6383561643835617
Mildura,2010,1.6197260273972605
Mildura,2011,1.9176119402985075
Mildura,2012,0.6214925373134328
Mildura,2013,0.6005952380952382
Mildura,2014,0.7046575342465753
Mildura,2015,0.6736263736263736
Mildura,2016,0.9797814207650274
Mildura,2017,0.5920454545454545
Moree,2009,1.4767123287671233
Moree,2010,1.7868493150684932
Moree,2011,2.3489489489489492
Moree,2012,1.7144615384615387
Moree,2013,1.3667673716012083
Moree,2014,1.129936305732484
Moree,2015,1.7628378378378378
Moree,2016,1.510601719197708
Moree,2017,1.5102272727272728
MountGambier,2008,3.819354838709677
MountGambier,2009,2.174246575342466
MountGambier,2010,2.2224657534246575
MountGambier,2011,2.359402985074627
MountGambier,2012,1.8059701492537314
MountGambier,2013,2.427299703264095
MountGambier,2014,1.7517808219178082
MountGambier,2015,1.4235616438356165
MountGambier,2016,2.5118457300275483
MountGambier,2017,1.8823529411764706
MountGinini,2008,3.1548387096774193
MountGinini,2009,2.978488372093023
MountGinini,2010,5.470103092783505
MountGinini,2011,4.1509202453987735
MountGinini,2012,3.852229299363057
MountGinini,2013,2.4714714714714714
MountGinini,2014,2.498342541436464
MountGinini,2015,2.2745205479452055
MountGinini,2016,3.8487671232876712
MountGinini,2017,1.8818181818181818
Newcastle,2008,1.4516129032258065
Newcastle,2009,2.7279452054794517
Newcastle,2010,2.8732590529247912
Newcastle,2011,3.7756923076923075
Newcastle,2012,2.8358490566037733
Newcastle,2013,3.4707692307692306
Newcastle,2014,2.627170868347339
Newcastle,2015,3.67943661971831
Newcastle,2016,3.2358757062146895
Newcastle,2017,4.154819277108434
Nhil,2013,1.1581699346405228
Nhil,2014,0.6670391061452514
Nhil,2015,0.6527472527472528
Nhil,2016,1.290958904109589
Nhil,2017,0.9363636363636364
NorahHead,2009,2.463218390804598
NorahHead,2010,3.3286956521739133
NorahHead,2011,3.926506024096385
NorahHead,2012,3.2432432432432434
NorahHead,2013,3.7588957055214727
NorahHead,2014,3.247191011235955
NorahHead,2015,3.8511494252873564
NorahHead,2016,2.8997260273972607
NorahHead,2017,4.273863636363636
NorfolkIsland,2009,2.4673972602739727
NorfolkIsland,2010,2.1460273972602737
NorfolkIsland,2011,4.7826347305389225
NorfolkIsland,2012,3.5850746268656715
NorfolkIsland,2013,2.859347181008902
NorfolkIsland,2014,3.0175342465753427
NorfolkIsland,2015,2.5704109589041098
NorfolkIsland,2016,4.0997109826589595
NorfolkIsland,2017,2.4105263157894736
Nuriootpa,2009,1.3038461538461539
Nuriootpa,2010,1.598082191780822
Nuriootpa,2011,1.8722388059701494
Nuriootpa,2012,0.9423880597014925
Nuriootpa,2013,1.3080597014925373
Nuriootpa,2014,1.3463013698630137
Nuriootpa,2015,0.9552197802197802
Nuriootpa,2016,2.0274725274725274
Nuriootpa,2017,0.9039772727272727
PearceRAAF,2009,1.7
PearceRAAF,2010,1.0034782608695652
PearceRAAF,2011,2.039189189189189
PearceRAAF,2012,1.3914754098360658
PearceRAAF,2013,2.1705882352941175
PearceRAAF,2014,1.7501639344262294
PearceRAAF,2015,1.3828729281767957
PearceRAAF,2016,2.0580110497237567
PearceRAAF,2017,1.5976608187134502
Penrith,2008,2.3333333333333335
Penrith,2009,1.5058823529411764
Penrith,2010,2.4847560975609757
Penrith,2011,2.05398773006135
Penrith,2012,2.6348348348348347
Penrith,2013,1.8250000000000002
Penrith,2014,1.916022099447514
Penrith,2015,2.6895604395604398
Penrith,2016,2.2324929971988796
Penrith,2017,2.311111111111111
Perth,2008,2.123913043478261
Perth,2009,1.6663013698630138
Perth,2010,1.3802739726027398
Perth,2011,2.511641791044776
Perth,2012,1.7552238805970148
Perth,2013,2.319287833827893
Perth,2014,1.8476712328767122
Perth,2015,1.6926027397260273
Perth,2016,1.9557377049180327
Perth,2017,2.0738636363636362
PerthAirport,2009,1.6871232876712328
PerthAirport,2010,1.1649315068493151
PerthAirport,2011,2.4167164179104477
PerthAirport,2012,1.8459701492537313
PerthAirport,2013,2.086053412462908
PerthAirport,2014,1.7008219178082191
PerthAirport,2015,1.5841095890410961
PerthAirport,2016,1.842622950819672
PerthAirport,2017,1.4511363636363634
Portland,2009,2.3358904109589043
Portland,2010,2.7241758241758243
Portland,2011,2.649397590361446
Portland,2012,2.3951951951951953
Portland,2013,3.3720238095238093
Portland,2014,2.1096418732782367
Portland,2015,1.8538461538461537
Portland,2016,3.077134986225895
Portland,2017,2.096590909090909
Richmond,2009,1.5928374655647384
Richmond,2010,2.097058823529412
Richmond,2011,2.0334328358208955
Richmond,2012,2.409937888198758
Richmond,2013,1.5896024464831804
Richmond,2014,1.8988888888888888
Richmond,2015,2.7884931506849315
Richmond,2016,2.203846153846154
Richmond,2017,3.0788571428571427
Sale,2009,1.033972602739726
Sale,2010,1.4246575342465753
Sale,2011,2.021492537313433
Sale,2012,1.7391044776119404
Sale,2013,1.535014836795252
Sale,2014,1.603835616438356
Sale,2015,1.434349030470914
Sale,2016,1.6944751381215468
Sale,2017,0.7965714285714286
SalmonGums,2009,0.8796703296703297
SalmonGums,2010,0.6385093167701863
SalmonGums,2011,1.0782089552238805
SalmonGums,2012,0.9477477477477478
SalmonGums,2013,1.3275964391691395
SalmonGums,2014,1.0170798898071625
SalmonGums,2015,1.028099173553719
SalmonGums,2016,1.0324175824175825
SalmonGums,2017,1.657471264367816
Sydney,2008,3.0614925373134327
Sydney,2009,2.6197260273972605
Sydney,2010,3.187292817679558
Sydney,2011,3.4716417910447763
Sydney,2012,3.3719402985074622
Sydney,2013,3.4985163204747773
Sydney,2014,2.485318559556787
Sydney,2015,3.666301369863014
Sydney,2016,3.785792349726776
Sydney,2017,4.9193181818181815
SydneyAirport,2009,2.4027397260273973
SydneyAirport,2010,2.8498630136986303
SydneyAirport,2011,3.1056716417910453
