Year,rain_mm
2007,3.219672131147541
2008,2.2935412026726056
2009,2.16638544052067
2010,2.7109243697478993
2011,2.829196694214876
2012,2.4162002260187463
2013,2.272402012547363
2014,1.9663409587308887
2015,2.1607532497678736
2016,2.3840539151293623
2017,2.478833667807815
